B, G, R (노란색으로 분류됨)
38, 66, 70
40, 65, 70
40, 68, 73
41, 62, 72
41, 63, 71
41, 67, 70
41, 67, 72
41, 69, 74
42, 61, 71
42, 62, 70
42, 63, 74
42, 64, 72
42, 65, 70
42, 67, 74
42, 68, 73
42, 69, 71
42, 71, 75
42, 75, 79
43, 62, 72
43, 63, 71
43, 66, 72
43, 67, 70
43, 67, 77
43, 69, 74
43, 70, 72
43, 72, 79
44, 61, 70
44, 64, 72
44, 65, 70
44, 66, 76
44, 67, 73
44, 67, 74
44, 68, 71
44, 69, 70
44, 69, 77
44, 70, 68
44, 70, 75
44, 71, 73
44, 72, 75
44, 72, 76
44, 74, 80
45, 62, 71
45, 65, 73
45, 66, 72
45, 67, 70
45, 67, 77
45, 68, 75
45, 69, 72
45, 69, 74
45, 70, 71
45, 71, 69
45, 72, 79
45, 73, 77
45, 74, 76
45, 75, 81
45, 76, 80
46, 63, 72
46, 64, 70
46, 66, 74
46, 67, 73
46, 68, 71
46, 68, 78
46, 69, 70
46, 69, 77
46, 70, 66
46, 70, 75
46, 71, 72
46, 71, 73
46, 71, 76
46, 72, 70
46, 72, 75
46, 73, 73
46, 74, 79
46, 75, 77
46, 76, 82
46, 77, 81
47, 65, 72
47, 65, 73
47, 66, 70
47, 67, 75
47, 67, 77
47, 68, 74
47, 69, 72
47, 70, 71
47, 71, 68
47, 71, 69
47, 72, 77
47, 72, 79
47, 73, 76
47, 74, 81
47, 75, 80
47, 76, 78
47, 76, 85
47, 78, 82
48, 64, 70
48, 66, 74
48, 67, 71
48, 67, 73
48, 68, 70
48, 68, 78
48, 69, 75
48, 69, 77
48, 69, 79
48, 70, 66
48, 70, 73
48, 70, 78
48, 71, 72
48, 71, 76
48, 71, 83
48, 72, 70
48, 72, 75
48, 72, 82
48, 73, 69
48, 73, 71
48, 73, 73
48, 73, 80
48, 74, 70
48, 74, 77
48, 74, 79
48, 75, 75
48, 75, 84
48, 76, 74
48, 76, 81
48, 76, 82
48, 77, 79
48, 78, 78
49, 65, 72
49, 66, 70
49, 67, 75
49, 68, 74
49, 69, 71
49, 69, 72
49, 70, 69
49, 71, 68
49, 71, 79
49, 72, 77
49, 73, 76
49, 74, 73
49, 74, 74
49, 74, 81
49, 75, 71
49, 75, 80
49, 76, 77
49, 76, 78
49, 77, 75
49, 77, 82
49, 77, 84
49, 78, 80
49, 78, 85
49, 79, 83
50, 64, 70
50, 66, 73
50, 67, 71
50, 68, 70
50, 69, 79
50, 70, 76
50, 70, 78
50, 71, 75
50, 72, 73
50, 72, 80
50, 72, 82
50, 73, 71
50, 73, 79
50, 74, 70
50, 74, 77
50, 75, 75
50, 75, 82
50, 76, 72
50, 76, 74
50, 76, 81
50, 77, 79
50, 78, 76
50, 78, 78
50, 79, 86
50, 79, 88
50, 80, 84
50, 82, 88
51, 65, 70
51, 65, 72
51, 67, 74
51, 67, 75
51, 68, 72
51, 68, 77
51, 69, 71
51, 69, 75
51, 70, 69
51, 70, 73
51, 71, 68
51, 71, 70
51, 71, 72
51, 71, 79
51, 72, 69
51, 72, 76
51, 72, 77
51, 73, 74
51, 73, 83
51, 74, 73
51, 74, 80
51, 74, 81
51, 75, 71
51, 75, 78
51, 75, 85
51, 76, 77
51, 76, 84
51, 77, 75
51, 77, 82
51, 78, 80
51, 78, 85
51, 79, 79
51, 79, 82
51, 79, 83
51, 80, 77
51, 80, 89
51, 81, 86
51, 81, 87
51, 83, 89
52, 66, 73
52, 67, 70
52, 67, 71
52, 69, 78
52, 70, 76
52, 71, 75
52, 72, 73
52, 72, 80
52, 73, 70
52, 73, 71
52, 73, 79
52, 74, 75
52, 74, 77
52, 74, 84
52, 75, 74
52, 75, 82
52, 76, 72
52, 76, 79
52, 76, 81
52, 77, 78
52, 78, 76
52, 78, 88
52, 79, 86
52, 80, 84
52, 81, 81
52, 81, 83
52, 81, 90
52, 82, 88
52, 83, 87
52, 84, 91
52, 85, 89
53, 65, 70
53, 67, 74
53, 68, 72
53, 69, 71
53, 69, 73
53, 69, 75
53, 70, 68
53, 70, 72
53, 70, 79
53, 71, 70
53, 71, 77
53, 72, 69
53, 72, 76
53, 73, 74
53, 73, 81
53, 74, 73
53, 74, 80
53, 75, 71
53, 75, 78
53, 75, 85
53, 76, 75
53, 76, 77
53, 76, 84
53, 77, 73
53, 77, 82
53, 77, 85
53, 77, 86
53, 78, 79
53, 78, 80
53, 78, 83
53, 79, 77
53, 79, 82
53, 79, 89
53, 80, 76
53, 80, 80
53, 80, 87
53, 81, 78
53, 81, 86
53, 82, 84
53, 82, 91
53, 83, 81
53, 83, 82
53, 83, 89
53, 84, 88
54, 66, 71
54, 67, 70
54, 70, 76
54, 71, 73
54, 71, 75
54, 72, 71
54, 72, 79
54, 72, 80
54, 73, 70
54, 73, 77
54, 74, 75
54, 74, 82
54, 74, 84
54, 75, 74
54, 75, 81
54, 76, 72
54, 76, 79
54, 77, 78
54, 77, 89
54, 78, 74
54, 78, 76
54, 78, 88
54, 79, 84
54, 79, 86
54, 80, 83
54, 81, 81
54, 81, 88
54, 81, 90
54, 82, 80
54, 82, 87
54, 83, 85
54, 83, 92
54, 84, 84
54, 84, 91
54, 85, 89
54, 85, 93
54, 86, 90
54, 86, 92
55, 65, 70
55, 67, 72
55, 68, 71
55, 68, 75
55, 69, 73
55, 70, 68
55, 70, 72
55, 71, 69
55, 71, 70
55, 71, 77
55, 72, 76
55, 73, 73
55, 73, 74
55, 73, 81
55, 74, 71
55, 74, 78
55, 74, 80
55, 75, 77
55, 75, 85
55, 76, 75
55, 76, 82
55, 76, 84
55, 76, 86
55, 77, 73
55, 77, 80
55, 77, 85
55, 78, 79
55, 78, 83
55, 78, 90
55, 79, 77
55, 79, 80
55, 79, 82
55, 79, 89
55, 80, 76
55, 80, 78
55, 80, 87
55, 81, 77
55, 81, 84
55, 81, 86
55, 81, 93
55, 82, 82
55, 82, 89
55, 82, 91
55, 83, 81
55, 83, 88
55, 84, 86
55, 85, 85
55, 86, 83
55, 86, 95
55, 87, 93
55, 88, 91
55, 89, 97
56, 66, 71
56, 67, 70
56, 69, 76
56, 70, 75
56, 71, 73
56, 72, 71
56, 72, 79
56, 73, 70
56, 73, 77
56, 74, 74
56, 74, 75
56, 74, 82
56, 75, 72
56, 75, 81
56, 76, 78
56, 76, 79
56, 77, 76
56, 77, 88
56, 78, 74
56, 78, 86
56, 79, 84
56, 79, 91
56, 80, 83
56, 80, 90
56, 81, 80
56, 81, 81
56, 81, 88
56, 82, 78
56, 82, 87
56, 82, 94
56, 83, 84
56, 83, 85
56, 83, 92
56, 84, 82
56, 84, 89
56, 84, 91
56, 84, 93
56, 85, 87
56, 85, 92
56, 85, 99
56, 86, 86
56, 86, 90
56, 87, 89
56, 87, 96
56, 88, 94
56, 89, 93
56, 90, 98
56, 91, 96
57, 67, 72
57, 68, 71
57, 69, 72
57, 69, 73
57, 70, 77
57, 71, 69
57, 71, 76
57, 72, 74
57, 73, 73
57, 73, 80
57, 74, 71
57, 74, 78
57, 75, 77
57, 75, 84
57, 76, 73
57, 76, 75
57, 76, 82
57, 76, 86
57, 77, 80
57, 77, 83
57, 77, 85
57, 78, 77
57, 78, 79
57, 78, 82
57, 79, 76
57, 79, 80
57, 79, 87
57, 79, 89
57, 80, 78
57, 80, 86
57, 81, 77
57, 81, 84
57, 81, 91
57, 82, 82
57, 82, 89
57, 83, 79
57, 83, 81
57, 83, 88
57, 84, 86
57, 84, 98
57, 85, 83
57, 85, 85
57, 85, 96
57, 86, 81
57, 86, 93
57, 86, 95
57, 87, 91
57, 87, 98
57, 88, 97
57, 89, 95
57, 90, 94
57, 91, 99
58, 70, 75
58, 71, 73
58, 72, 70
58, 72, 77
58, 72, 79
58, 73, 75
58, 74, 74
58, 74, 81
58, 74, 82
58, 75, 72
58, 75, 79
58, 76, 78
58, 77, 76
58, 78, 86
58, 79, 83
